title,number,score,platform,release_date,web_page
Left 4 Dead,116,9.0,PC,"November 17, 2008",https://www.metacritic.com/game/pc/left-4-dead
Dragon Ball Z: Budokai Tenkaichi 3,117,9.0,PlayStation 2,"November 13, 2007",https://www.metacritic.com/game/playstation-2/dragon-ball-z-budokai-tenkaichi-3
Phoenix Wright: Ace Attorney - Trials and Tribulations,118,9.0,DS,"October 23, 2007",https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney---trials-and-tribulations
Team Fortress 2,119,9.0,PC,"October 10, 2007",https://www.metacritic.com/game/pc/team-fortress-2
The Orange Box,120,9.0,Xbox 360,"October 10, 2007",https://www.metacritic.com/game/xbox-360/the-orange-box
God of War II,121,9.0,PlayStation 2,"March 13, 2007",https://www.metacritic.com/game/playstation-2/god-of-war-ii
The Legend of Zelda: Twilight Princess,122,9.0,Wii,"November 19, 2006",https://www.metacritic.com/game/wii/the-legend-of-zelda-twilight-princess
Medieval II: Total War,123,9.0,PC,"November 13, 2006",https://www.metacritic.com/game/pc/medieval-ii-total-war
Kingdom Hearts II,124,9.0,PlayStation 2,"March 28, 2006",https://www.metacritic.com/game/playstation-2/kingdom-hearts-ii
Star Wars: Battlefront II (2005),125,9.0,PlayStation 2,"November 1, 2005",https://www.metacritic.com/game/playstation-2/star-wars-battlefront-ii-2005
Resident Evil 4,126,9.0,PlayStation 2,"October 25, 2005",https://www.metacritic.com/game/playstation-2/resident-evil-4
Phoenix Wright: Ace Attorney,127,9.0,DS,"October 12, 2005",https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney
Day of Defeat: Source,128,9.0,PC,"September 26, 2005",https://www.metacritic.com/game/pc/day-of-defeat-source
Ratchet & Clank: Up Your Arsenal,129,9.0,PlayStation 2,"November 3, 2004",https://www.metacritic.com/game/playstation-2/ratchet-clank-up-your-arsenal
Rome: Total War,130,9.0,PC,"September 22, 2004",https://www.metacritic.com/game/pc/rome-total-war
Sly 2: Band of Thieves,131,9.0,PlayStation 2,"September 14, 2004",https://www.metacritic.com/game/playstation-2/sly-2-band-of-thieves
